csab_round,academic_year,institute,academic_program_name,quota,seat_type,gender,opening_rank,closing_rank
3,2025-26,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",Home State,OPEN,Gender-Neutral,98684,103671
3,2025-26,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",Home State,EWS,Female-only (including Supernumerary),153051,153051
3,2025-26,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",Home State,OBC-NCL,Gender-Neutral,182169,220552
3,2025-26,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",Home State,SC,Gender-Neutral,261614,261614
3,2025-26,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",Other State,OPEN,Gender-Neutral,59170,60293
3,2025-26,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",Other State,EWS,Gender-Neutral,63961,63961
3,2025-26,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",Home State,OPEN,Gender-Neutral,66693,67394
3,2025-26,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",Home State,EWS,Gender-Neutral,73433,73433
3,2025-26,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",Home State,EWS,Female-only (including Supernumerary),67701,67701
3,2025-26,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",Home State,OBC-NCL,Gender-Neutral,151515,151515
3,2025-26,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",Home State,SC,Gender-Neutral,248733,248733
3,2025-26,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",Other State,OPEN,Gender-Neutral,46087,46097
3,2025-26,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",Other State,EWS,Gender-Neutral,47262,47262
3,2025-26,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",Other State,OBC-NCL,Gender-Neutral,49011,52653
3,2025-26,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",Home State,OPEN,Gender-Neutral,81611,82536
3,2025-26,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",Home State,OPEN,Female-only (including Supernumerary),86890,88704
3,2025-26,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",Home State,EWS,Gender-Neutral,108096,108096
3,2025-26,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",Home State,EWS,Female-only (including Supernumerary),136351,136351
3,2025-26,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",Home State,OBC-NCL,Gender-Neutral,169661,170295
3,2025-26,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",Other State,OPEN,Gender-Neutral,49980,51229
3,2025-26,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",Other State,OPEN,Female-only (including Supernumerary),75916,75916
3,2025-26,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",Other State,EWS,Gender-Neutral,53450,53450
3,2025-26,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",Other State,EWS,Female-only (including Supernumerary),88211,88211
3,2025-26,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",Other State,OBC-NCL,Gender-Neutral,55393,57850
3,2025-26,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",Other State,OPEN,Gender-Neutral,13732,13737
3,2025-26,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",Other State,OPEN,Female-only (including Supernumerary),24362,24362
3,2025-26,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",Other State,EWS,Gender-Neutral,15101,15101
3,2025-26,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",Other State,OBC-NCL,Gender-Neutral,17262,17412
3,2025-26,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering for DASA-CIWG (4 Years, Bachelor of Technology)",DASA-CIWG,OPEN,Gender-Neutral,497878,497878
3,2025-26,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Data Science and Engineering (4 Years, Bachelor of Technology)",Home State,OPEN,Gender-Neutral,21022,21022
3,2025-26,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Data Science and Engineering (4 Years, Bachelor of Technology)",Other State,OPEN,Female-only (including Supernumerary),28491,29384
3,2025-26,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Data Science and Engineering (4 Years, Bachelor of Technology)",Other State,OBC-NCL,Gender-Neutral,23687,23687
3,2025-26,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electrical Engineering (4 Years, Bachelor of Technology)",Home State,OPEN,Gender-Neutral,33138,33460
3,2025-26,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electrical Engineering (4 Years, Bachelor of Technology)",Home State,EWS,Gender-Neutral,41063,41063
3,2025-26,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electrical Engineering (4 Years, Bachelor of Technology)",Other State,OPEN,Gender-Neutral,25402,25402
3,2025-26,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electrical Engineering (4 Years, Bachelor of Technology)",Other State,OPEN,Female-only (including Supernumerary),40523,40523
3,2025-26,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electrical Engineering (4 Years, Bachelor of Technology)",Other State,OBC-NCL,Gender-Neutral,29055,30627
3,2025-26,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electrical Engineering (4 Years, Bachelor of Technology)",Other State,SC,Female-only (including Supernumerary),156023,156023
3,2025-26,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Home State,OPEN,Gender-Neutral,26947,27681
3,2025-26,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Home State,OPEN,Female-only (including Supernumerary),26815,26815
3,2025-26,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Home State,EWS,Gender-Neutral,34154,34154
3,2025-26,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Home State,OBC-NCL,Gender-Neutral,80582,80582
3,2025-26,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Other State,OPEN,Gender-Neutral,19723,20451
3,2025-26,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Other State,OPEN,Female-only (including Supernumerary),31125,31125
3,2025-26,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Other State,EWS,Gender-Neutral,21535,22426
3,2025-26,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Other State,OBC-NCL,Gender-Neutral,25046,25367
3,2025-26,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and VLSI Engineering (4 Years, Bachelor of Technology)",Home State,OPEN,Gender-Neutral,29802,29802
3,2025-26,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and VLSI Engineering (4 Years, Bachelor of Technology)",Home State,EWS,Gender-Neutral,34806,34806
3,2025-26,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and VLSI Engineering (4 Years, Bachelor of Technology)",Home State,OBC-NCL,Gender-Neutral,82261,82261
3,2025-26,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and VLSI Engineering (4 Years, Bachelor of Technology)",Other State,OPEN,Gender-Neutral,21954,23301
3,2025-26,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and VLSI Engineering (4 Years, Bachelor of Technology)",Other State,EWS,Gender-Neutral,24610,24610
3,2025-26,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and VLSI Engineering (4 Years, Bachelor of Technology)",Other State,OBC-NCL,Gender-Neutral,25427,26812
3,2025-26,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Industrial and Production Engineering (4 Years, Bachelor of Technology)",All India,ST,Gender-Neutral,255117,255117
3,2025-26,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Industrial and Production Engineering (4 Years, Bachelor of Technology)",Home State,OPEN,Gender-Neutral,79511,80500
3,2025-26,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Industrial and Production Engineering (4 Years, Bachelor of Technology)",Home State,OPEN,Female-only (including Supernumerary),80506,80506
3,2025-26,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Industrial and Production Engineering (4 Years, Bachelor of Technology)",Home State,OBC-NCL,Gender-Neutral,178044,178044
3,2025-26,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Industrial and Production Engineering (4 Years, Bachelor of Technology)",Other State,OPEN,Gender-Neutral,52305,52305
3,2025-26,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Industrial and Production Engineering (4 Years, Bachelor of Technology)",Other State,EWS,Gender-Neutral,54411,54411
3,2025-26,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Industrial and Production Engineering (4 Years, Bachelor of Technology)",Other State,OBC-NCL,Gender-Neutral,58949,60726
3,2025-26,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Industrial and Production Engineering (4 Years, Bachelor of Technology)",Other State,ST,Gender-Neutral,281852,295528
3,2025-26,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Information Technology (4 Years, Bachelor of Technology)",Home State,OPEN,Gender-Neutral,24035,24035
3,2025-26,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Information Technology (4 Years, Bachelor of Technology)",Home State,OPEN,Female-only (including Supernumerary),25474,25474
3,2025-26,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Information Technology (4 Years, Bachelor of Technology)",Other State,OPEN,Female-only (including Supernumerary),27322,27322
3,2025-26,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Instrumentation and Control Engineering (4 Years, Bachelor of Technology)",Home State,OPEN,Gender-Neutral,46532,46738
3,2025-26,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Instrumentation and Control Engineering (4 Years, Bachelor of Technology)",Home State,OBC-NCL,Gender-Neutral,109710,109710
3,2025-26,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Instrumentation and Control Engineering (4 Years, Bachelor of Technology)",Other State,OPEN,Gender-Neutral,30065,30065
3,2025-26,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Instrumentation and Control Engineering (4 Years, Bachelor of Technology)",Other State,OBC-NCL,Gender-Neutral,37757,37938
3,2025-26,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Mathematics and Computing (4 Years, Bachelor of Technology)",Home State,OPEN,Gender-Neutral,25343,25343
3,2025-26,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Mathematics and Computing (4 Years, Bachelor of Technology)",Home State,EWS,Gender-Neutral,33560,33560
3,2025-26,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Mathematics and Computing (4 Years, Bachelor of Technology)",Other State,OPEN,Gender-Neutral,18044,18474
3,2025-26,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Mathematics and Computing (4 Years, Bachelor of Technology)",Other State,OPEN,Female-only (including Supernumerary),30332,30332
3,2025-26,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Mathematics and Computing (4 Years, Bachelor of Technology)",Other State,OBC-NCL,Gender-Neutral,24091,24091
3,2025-26,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Mechanical Engineering (4 Years, Bachelor of Technology)",Home State,OPEN,Gender-Neutral,56739,57413
3,2025-26,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Mechanical Engineering (4 Years, Bachelor of Technology)",Home State,EWS,Gender-Neutral,72136,83940
3,2025-26,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Mechanical Engineering (4 Years, Bachelor of Technology)",Home State,OBC-NCL,Gender-Neutral,118303,129422
3,2025-26,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Mechanical Engineering (4 Years, Bachelor of Technology)",Home State,SC,Female-only (including Supernumerary),263583,263583
3,2025-26,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Mechanical Engineering (4 Years, Bachelor of Technology)",Other State,OPEN,Gender-Neutral,36370,36865
3,2025-26,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Mechanical Engineering (4 Years, Bachelor of Technology)",Other State,OPEN,Female-only (including Supernumerary),60855,60855
3,2025-26,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Mechanical Engineering (4 Years, Bachelor of Technology)",Other State,EWS,Female-only (including Supernumerary),68351,68351
3,2025-26,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Mechanical Engineering (4 Years, Bachelor of Technology)",Other State,OBC-NCL,Gender-Neutral,42331,43190
3,2025-26,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Mechanical Engineering (4 Years, Bachelor of Technology)",Other State,OBC-NCL,Female-only (including Supernumerary),80945,80945
3,2025-26,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Textile Technology (4 Years, Bachelor of Technology)",Home State,OPEN,Gender-Neutral,133710,136040
3,2025-26,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Textile Technology (4 Years, Bachelor of Technology)",Home State,EWS,Gender-Neutral,159828,159828
