dasa logo
DASA and CSAB-Special 2025
NITs, IIEST, IIITs, SPAs, Other-GFTIs, and a few other Premier Technical Institutes

  Home
Opening and Closing Ranks
Special Round:
Institute Type:
Institute Name:
Academic Program:
Opening and closing ranks for New (Fresh Allottee) and Upgraded (Seat Upgraded) candidates in the First, Second, and Third rounds of Special Vacant and DASA Seat Filling Rounds.

Note :
1. All ranks are All India CRL Rank.
2. These ranks are based on following types of Candidates.
a) who reported online at PI (Secured admission) in JoSAA round 6 and upgraded the institute/program/category/quota/gender pool in CSAB Special Round.
b) who got fresh allotment in CSAB Special Round.


Institute	Academic Program Name	Quota	Seat Type	Gender	Opening Rank	Closing Rank
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Civil Engineering (4 Years, Bachelor of Technology)	Home State	OBC-NCL	Female-only (including Supernumerary)	212408	212408
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Civil Engineering (4 Years, Bachelor of Technology)	Home State	SC	Gender-Neutral	201378	205319
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Civil Engineering (4 Years, Bachelor of Technology)	Home State	ST	Gender-Neutral	541172	541172
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Civil Engineering (4 Years, Bachelor of Technology)	Other State	OPEN	Gender-Neutral	42520	47442
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Civil Engineering (4 Years, Bachelor of Technology)	Other State	OPEN	Female-only (including Supernumerary)	58993	69745
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Civil Engineering (4 Years, Bachelor of Technology)	Other State	EWS	Gender-Neutral	50957	52101
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Civil Engineering (4 Years, Bachelor of Technology)	Other State	EWS	Female-only (including Supernumerary)	74954	74954
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Civil Engineering (4 Years, Bachelor of Technology)	Other State	OBC-NCL	Gender-Neutral	49053	53516
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Civil Engineering (4 Years, Bachelor of Technology)	Other State	OBC-NCL	Female-only (including Supernumerary)	72793	78840
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Civil Engineering (4 Years, Bachelor of Technology)	Other State	SC	Gender-Neutral	136035	157046
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Civil Engineering (4 Years, Bachelor of Technology)	Other State	SC	Female-only (including Supernumerary)	183657	183657
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Civil Engineering (4 Years, Bachelor of Technology)	Other State	ST	Gender-Neutral	160032	175725
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Civil Engineering (4 Years, Bachelor of Technology)	Other State	ST	Female-only (including Supernumerary)	244291	244291
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Computer Science and Engineering (4 Years, Bachelor of Technology)	All India	ST	Gender-Neutral	67204	67204
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Computer Science and Engineering (4 Years, Bachelor of Technology)	Home State	OPEN	Gender-Neutral	7122	12192
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Computer Science and Engineering (4 Years, Bachelor of Technology)	Home State	EWS	Gender-Neutral	24776	24776
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Computer Science and Engineering (4 Years, Bachelor of Technology)	Home State	OBC-NCL	Gender-Neutral	33041	33041
