dasa logo
DASA and CSAB-Special 2025
NITs, IIEST, IIITs, SPAs, Other-GFTIs, and a few other Premier Technical Institutes

  Home
Opening and Closing Ranks
Special Round:
Institute Type:
Institute Name:
Academic Program:
Opening and closing ranks for New (Fresh Allottee) and Upgraded (Seat Upgraded) candidates in the First, Second, and Third rounds of Special Vacant and DASA Seat Filling Rounds.

Note :
1. All ranks are All India CRL Rank.
2. These ranks are based on following types of Candidates.
a) who reported online at PI (Secured admission) in JoSAA round 6 and upgraded the institute/program/category/quota/gender pool in CSAB Special Round.
b) who got fresh allotment in CSAB Special Round.


Institute	Academic Program Name	Quota	Seat Type	Gender	Opening Rank	Closing Rank
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Bio Technology (4 Years, Bachelor of Technology)	Home State	OPEN	Gender-Neutral	93592	95657
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Bio Technology (4 Years, Bachelor of Technology)	Home State	EWS	Gender-Neutral	133832	144801
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Bio Technology (4 Years, Bachelor of Technology)	Home State	OBC-NCL	Gender-Neutral	181197	181197
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Bio Technology (4 Years, Bachelor of Technology)	Home State	SC	Gender-Neutral	227809	227809
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Bio Technology (4 Years, Bachelor of Technology)	Other State	OPEN	Female-only (including Supernumerary)	71886	71886
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Bio Technology (4 Years, Bachelor of Technology)	Other State	EWS	Gender-Neutral	63551	63551
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Bio Technology (4 Years, Bachelor of Technology)	Other State	OBC-NCL	Gender-Neutral	67323	67751
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Bio Technology (4 Years, Bachelor of Technology)	Other State	SC	Gender-Neutral	184656	184656
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Chemical Engineering (4 Years, Bachelor of Technology)	Home State	OPEN	Gender-Neutral	66369	66369
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Chemical Engineering (4 Years, Bachelor of Technology)	Home State	OBC-NCL	Gender-Neutral	118303	118303
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Chemical Engineering (4 Years, Bachelor of Technology)	Other State	OPEN	Gender-Neutral	42844	43747
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Chemical Engineering (4 Years, Bachelor of Technology)	Other State	OPEN	Female-only (including Supernumerary)	64982	64982
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Chemical Engineering (4 Years, Bachelor of Technology)	Other State	EWS	Gender-Neutral	46368	46368
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Chemical Engineering (4 Years, Bachelor of Technology)	Other State	OBC-NCL	Gender-Neutral	48574	48949
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Chemical Engineering (4 Years, Bachelor of Technology)	Other State	SC	Gender-Neutral	159906	159906
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Chemical Engineering (4 Years, Bachelor of Technology)	Other State	ST	Gender-Neutral	230519	239039
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Civil Engineering (4 Years, Bachelor of Technology)	All India	ST	Gender-Neutral	160032	160032
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Civil Engineering (4 Years, Bachelor of Technology)	Home State	OPEN	Gender-Neutral	79157	79511
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Civil Engineering (4 Years, Bachelor of Technology)	Other State	OPEN	Gender-Neutral	47577	49053
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Civil Engineering (4 Years, Bachelor of Technology)	Other State	OPEN	Female-only (including Supernumerary)	72793	74954
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Civil Engineering (4 Years, Bachelor of Technology)	Other State	EWS	Gender-Neutral	53131	53131
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Civil Engineering (4 Years, Bachelor of Technology)	Other State	EWS	Female-only (including Supernumerary)	75916	75916
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Civil Engineering (4 Years, Bachelor of Technology)	Other State	OBC-NCL	Gender-Neutral	53833	54237
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Civil Engineering (4 Years, Bachelor of Technology)	Other State	OBC-NCL	Female-only (including Supernumerary)	79605	80616
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Civil Engineering (4 Years, Bachelor of Technology)	Other State	ST	Gender-Neutral	189138	189138
